Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
7484.515846,77.1029140625,NaN,NaN,NaN,NaN,NaN
7501.436499,NaN,114.3808515625,NaN,NaN,NaN,NaN
7519.51557924,NaN,114.4083828125,NaN,NaN,NaN,NaN
7537,NaN,NaN,26.417,26.656,28.642,30
7555.67380268,NaN,114.5363203125,NaN,NaN,NaN,NaN
7573,NaN,NaN,26.818,26.861,28.969,30
7590.40964902,77.307875,NaN,NaN,NaN,NaN,NaN
7608.48909854,77.358828125,NaN,NaN,NaN,NaN,NaN
7625.40756684,NaN,114.799359375,NaN,NaN,NaN,NaN
7643.48669428,NaN,114.94590625,NaN,NaN,NaN,NaN
7660.14462184,77.5238671875,NaN,NaN,NaN,NaN,NaN
7678.2240415,77.5802109375,NaN,NaN,NaN,NaN,NaN
7696,NaN,NaN,27.795,27.533,32.782,30
7713.22049166,NaN,115.33128125,NaN,NaN,NaN,NaN
7731.29962254,NaN,115.4581328125,NaN,NaN,NaN,NaN
