Time_s,Sensor_negDegPLA,TempActual_C
40161.766875,55.609160,-12.381667
40195.342936,55.683000,-12.198583
40213.422253,55.714074,-12.099999
40231.501689,55.734473,-12.001415
40265.077764,55.931645,-11.814586
40301.236634,55.922465,-11.614519
40319.316056,56.005957,-11.517516
40355.474860,56.085586,-11.316328
40389.050859,56.099922,-11.123797
40407.130261,56.162988,-11.020126
40425.209660,56.219098,-10.916456
40458.785750,56.129594,-10.723925
40582.758917,56.543328,-9.954101
40618.917736,56.636590,-9.717303
40655.076568,56.688527,-9.488043
40688.652655,56.851715,-9.278670
40706.732077,56.997777,-9.165931
40724.811477,57.035488,-9.053192
40776.466938,56.963715,-8.730208
40864.281263,57.448195,-8.205583
40952.095604,57.510766,-7.688976
41039.909928,57.770313,-7.199794
41057.989323,57.802449,-7.100461
41127.724256,57.783566,-6.723811
41145.803692,57.938090,-6.626704
41163.883119,57.860297,-6.529597
41181.962538,58.053199,-6.432490
41233.618065,58.265684,-6.155041
41251.697450,58.429656,-6.057934
41321.432299,58.314051,-5.675810
41339.511691,58.561844,-5.580198
41409.246643,58.709242,-5.195479
41427.326053,58.694164,-5.097443
41533.219798,58.861758,-4.525961
41602.954700,59.082395,-4.140647
41690.769025,59.347477,-3.655001
41760.503981,59.418215,-3.266161
41796.662834,59.578250,-3.069135
41866.397766,59.613258,-2.689408
41936.132613,59.771387,-2.303328
41954.212037,59.790004,-2.202333
41972.291438,59.766371,-2.101337
42078.185161,60.086367,-1.515466
42129.840578,60.007094,-1.230528
42165.999423,60.119406,-1.031486
42341.628042,60.691238,-0.055718
42447.521782,60.828004,0.510489
42481.097828,60.998672,0.689817
42517.256680,61.089680,0.888933
42605.070950,61.035797,1.377137
42674.805814,61.351566,1.725148
42692.885248,61.355137,1.790281
42710.964638,61.544004,1.855414
42744.540690,61.514430,1.976376
42850.434403,61.531941,2.357871
42902.089876,61.486676,2.415143
42920.169320,61.402402,2.335524
42989.904135,61.359789,2.570896
43059.639025,61.387922,3.192035
43077.718366,61.401832,3.353070
43183.611930,61.494570,4.599910
43201.691311,61.480840,4.726082
43271.426159,61.669977,5.212748
43289.505568,61.833191,5.338920
